,post_id,date,year,nhood,city,county,price,beds,baths,sqft,room_in_apt,address,lat,lon,title,descr,details
0,4710888130,20141012,2014,alameda,alameda,alameda,2250,2.0,1.0,1080.0,0,659,37.772835,-122.248585,2br Victortian Duplex Garden Apt.,"This 1903 ""Workingman's Victorian"" on a quiet street has been carefully restored and feels like Old Alameda. The large gourmet kitchen and the bathroom have been recently remodeled. The central dining room is convenient and versatile. The shared, sunny backyard of this lower unit make the outdoors as nearby as another room of the house. Barbequeing and gardening possibilities are just steps away.  Other features include:* Refinished natural fir floors* Fireplace* Updated kitchen (incl. dishwasher and disposal)* Washer/dryer hookups and storage space in shed* Private patio* On street parking* Non smokers only, pleaseReady for early Nov. occupancyReferences and Employment verification required, please email for further details2022A Eagle Ave., (near Stanford St.) Please do not disturb tenants","2BR / 1Ba 1080ft2 apartment  date=""2014-11-02"" today_msg=""available now"">available nov 02<br/>w/d hookups street parking<br/>no smoking<br/>cats are OK - purrr</p>"
1,4988581576,20150421,2015,alameda,alameda,alameda,2650,2.0,1.0,950.0,0,497,37.758922,-122.263314,"Upgraded 2B w/ Pool View, Short Walk to Schools &amp; Shopping","Enjoy and experience the relaxing atmosphere of living in one of the Bay Area's Finest Communities!  Whether you are relaxing on your private patio or walking, jogging, or rollerblading on the beautiful Shoreline trail, you'll enjoy the panoramic views and spectacular sunsets at Shoreline Apartments.RENTAL INFORMATION Monthly Rent - $2,650.00 Lease Terms - 8 or 12-month lease Deposit - $700.00 (for qualified applicants) Application Fee - $35.00 Location - 1801 Shoreline Drive, Alameda, CA 94501 Telephone -  show contact info  Sorry, NO Section 8! RENTAL FEATURESDedicated dining areaLiving roomUpgraded kitchenWalk-thru closet Appliances included - Stove, Refrigerator, Dishwasher, and MicrowaveDouble kitchen sinks one with garbage disposal unitHis and Hers bathroom sinksHeaters in the living room, bedrooms, and bath roomCable-readyHigh-speed internet COMMUNITY FEATURESFitness centerLaundry on-sitePlaygroundSwimming poolsAssigned parkingGated communityOn site attentive, and professional Management StaffFew minutes walk to Donald Lum Elementary and Wood Middle SchoolsShort walk to Alameda Shopping Center, Post Office, Banks, Parks, and RestaurantsEasy access to Bart, Highway 880, S. F. Bay Ferry, and only minutes to Oakland AirportPET POLICYPet Policy: Indoor cats ONLY with $500 additional deposit per cat (maximum of 2) and $35  monthly pet rent per cat.    OFFICE HOURSMonday to Friday  - 11:00 am to 6:00 pm Saturday and Sunday - 11:00 am to 6:00 pm Call now to schedule a tour to view this lovely unit.  Unit is  now READY for move in.  Please visit our website :  http://shoreline1801.com","2BR / 1Ba 950ft2 apartment  date=""2015-04-20"" today_msg=""available now"">available apr 20<br/>laundry on site<br/>no smoking<br/>cats are OK - purrr</p>"
2,4988561264,20150421,2015,alameda,alameda,alameda,1950,2.0,1.0,800.0,0,2105,37.773228,-122.26648,"BRAND NEW REMODELED 2-BR / 1-BA END-UNIT, SUNNY","Be the first to live in this freshly remodeled 2-BR / 1-BA apartment in a 6-unit apartment building. This apartment gets lots of afternoon sunlight in the kitchen. Located at 1529 St. Charles St., Alameda, CA.You are a half-block to the bus stop, and a five-minute walk to restaurants and a local grocery store.-Approximately 800 sqft.-Kitchen has brand new cabinets and granite countertops, new tiled floor-Eat-in kitchen-Bathroom has brand new: tub/shower, toilet, vanity, tiled wall around tub/shower, and tiled floors-Brand new carpet in living room and bedrooms-Carport-Coin-operated Laundry Room-Owner pays water & garbage-Available to move in immediately-One-year Lease-       No smoking-       Sorry, no pets, no Section 8.Contact: Diane  show contact info","2BR / 1Ba 800ft2 apartment  date=""2015-04-21"" today_msg=""available now"">available apr 21<br/>laundry in bldg carport</p>"
3,4855533017,20150120,2015,alameda,alameda,alameda,2650,2.0,1.0,950.0,0,497,37.758922,-122.263314,Fully Upgraded and lovely Unit Close to School + 1-month FREE!,"Enjoy and experience the relaxing atmosphere of living in one of the Bay Area's Finest Communities!  Whether you are relaxing on your private patio or walking, jogging, or rollerblading on the beautiful Shoreline trail, you'll enjoy the panoramic views and spectacular sunsets at Shoreline Apartments.HURRY! Limited time offer, 1-MONTH FREE for 1-year lease. Available to move in TODAY!. Call Us to schedule a tour!!RENTAL INFORMATION Monthly Rent - $2,650.00 Lease Terms - 8 and 12-month leasesDeposit - $700.00 (for qualified applicants) Application Fee - $35.00 Location - 1801 Shoreline Drive, Alameda, CA 94501 Telephone -  show contact info  Sorry, NO Section 8! RENTAL FEATURESDedicated dining areaLiving roomUpgraded kitchenWalk-thru closetBrand new stainless steel appliances - Stove, Refrigerator, Dishwasher, and MicrowaveDouble kitchen sinks one with garbage disposal unitHis and Hers bathroom sinksPrivate balcony with pool view, 2nd floor unit with more natural sunlightHeaters in the living room, bedrooms, and bath roomCable-readyHigh-speed internetCOMMUNITY FEATURESFitness centerLaundry on-sitePlaygroundSwimming poolsAssigned covered parkingGated communityOn site attentive, and professional Management StaffFew minutes walk to Donald Lum Elementary and Wood Middle SchoolsShort walk to Alameda Shopping Center, Post Office, Banks, Parks, and RestaurantsEasy access to Bart, Highway 880, S. F. Bay Ferry, and only minutes to Oakland AirportPET POLICYIndoor cats ONLY with $500 additional deposit per cat, $35 monthly pet rent per cat (Maximum of 2)     OFFICE HOURSMonday to Friday  - 11:00 am to 6:00 pm Saturday and Sunday - 11:00 am to 6:00 pm Call now to schedule a tour to view this lovely Unit.Visit our website at http://eastbayapartments.org/","2BR / 1Ba 950ft2 apartment  date=""2015-01-20"" today_msg=""available now"">available jan 20<br/>laundry on site carport<br/>no smoking<br/>cats are OK - purrr</p>"
4,4631188738,20140824,2014,alameda,alameda,alameda,3295,4.0,1.0,1716.0,0,1116,37.732229,-122.234879,Originally 4-bedroom Townhouse in Bay Farm Island,"3546 Magnolia Dr., Alameda, CAA peaceful and convenient townhouse in the Bay Farm IslandA townhouse with 3 Bedrooms & 2 full + 1 partial Bathrooms1,716 sq. ft. with 2 parking spaces in a detached private garage through a patioDESCRIPTION Bay Farm neighborhood, convenient location, and great floor planA private 2-car garage, an Atrium/Patio area for gardening,and a balcony in the Master suiteMaster suite spans two original bedrooms for a spacious room with a separate bathA separate full bath for 2 other bedrooms upstairsA washer & dryer room and a 1/2 bath downstairsAppliances, including washer & dryer are provided by the landlord.Community swimming pool & ample street parkingExcellent schools, close to a golf course, parks, shopping strips,beach trails, libraries, and much moreAvailable for Occupancy in early SeptemberRENTAL FEATURES- Central heat, Walk-in closet, Hardwood floor- Family room, Living room, Dining room- Dishwasher, Refrigerator, Stove/Oven- Stainless steel appliances, Washer, Dryer- Balcony, Deck, or Patio- Swimming pool- Cable-readyOTHER FEATURES  - Garage parking, Storage space(s), Community Swimming pool(s)LEASE TERMS $3,295 per month with $3,500 security depositOne year lease or longer.Sorry, NO petsOwner pays HOA & garbage fees.A $35 non-refundable fee per applicant with a rental applicationfor screening by National Tenant Network company.The screening result of 81 (out of 100) or better is required for acceptanceand 61 - 80 with additional security deposit.No acceptance for applicants 60 or below (out of 100).Please specify your voucher maximum from AHA if participating in the section 8 program.Contact info: Please email Rental Manager, 80square RealtyCA DRE Lic.#01446082Equal Opportunity Housing","3BR / 2.5Ba 1716ft2 apartment  date=""2014-09-01"" today_msg=""available now"">available sep 01<br/>w/d in unit detached garage</p>"
5,4794051100,20141209,2014,alameda,alameda,alameda,1860,1.0,1.0,705.0,0,390,37.770328,-122.25988,Gold Coast Victorian,"Alameda Gold Coast Neoclassical Victorian has lovely first floor one bedroom apartment available about January 3.Secure building has 5 units, nice neighbors, lots of privacy and quiet, and multiple ways to enter and move about within the building.Hardwood floors and original architectural details in elegant building foyer and halls. Windows on three sides of this unit, and lovely sunrise and sunset views.Bath has tub/shower, extra storage. Bedroom has two closets. Kitchen has gas stove, newer, efficient frig, room for table and chairs.Shared, seldom used, private back garden for relaxing and entertaining. Basement has shared laundry with new, free washer and $1 dryer. Easy street parkingBuilding is nice walking distance to shops, theatre, terrific restaurants, bay and beach.Rental Agreement, no lease. First and last months rent, $400 fully refundable pet and people security.Cats welcome.Please send very, very brief summary of lifestyle and moving plan.","1BR / 1Ba 705ft2 apartment  date=""2015-01-03"" today_msg=""available now"">available jan 03<br/>laundry in bldg street parking<br/>no smoking<br/>cats are OK - purrr</p>"
6,5291718271,20151113,2015,alamo square,san francisco,san francisco,7900,4.0,1.0,1700.0,0,2353,37.775749,-122.431865,Old World Charm in an Unbeatable Location,"The thing you want about this apartment is the location. Oh, it has other positive traits to be sure - an excellent floor plan, good number of bathrooms per bedroom, beautiful Victorian accents, etc., etc. but none of that stands up to the location in the heart of SF. You're half a block from Alamo Square, around the corner from the Painted Ladies, a block from the Church of Eight Wheels, and just down the street from Patxi's (to name a few of my personal favorites.)I know that's the traditional three most important things but for the sake of completeness, here's the full list of selling points:*a roomy 1700 square feet*3 baths featuring granite top vanities (one with tub shower combo & one with walk in shower)*original ornamental bay window in front rooms*beautiful Victorian accents throughout*new stain resistant carpet*kitchen features black granite counters *stainless steel appliances (dishwasher, gas range and refrigerator)*4 large bedrooms *large storage room*secure intercom at front door*central gas heating*covered private patio*access to shared back yard *laundry in the basement*1/2 block from beautiful Alamo Square*walkable to 3 bustling commercial districts: Height, Hayes Valley, and the popular Fillmore Corridor*great location near restaurants, and shopping* walking distance to at least 10 Muni lines*15 min commute by bus (one bus, no transfer) to Civic Center BartSecurity deposit will be one month's rent. Total move in cost is first month's rent and security deposit (rent is prorated if the move-in date warrants it.)The first step for potential applicants is to respond to this ad via email. That will get you a form letter with the full paperwork/application process explanation and start the conversation as to when we can schedule a viewing of the apartment.Video Tour- https://www.youtube.com/watch?v=oDBeXmtQCnw&feature;=youtu.be","4BR / 3Ba 1700ft2  date=""2015-11-05"" today_msg=""available now"">available nov 05</p>"
7,4795296774,20141223,2014,albany / el cerrito,el cerrito,contra costa,4000,5.0,3.0,3000.0,0,1626,37.9156,-122.2985,Kensington /El Cerrito /Berkeley border view home Remodel,Newly nice large 5 bedroom (4bedroom +Den) 3 full bathroom at hill side next to Golf Court with Bay/Hill view two storage apx 3000 sqfts with 1/4 aces lot full landscaped   with many tree flower around the house fence yard big fire place high ceiling large living room formal  dinner and family room newly kitchen with granite counter 3 bar bar stool refigerator stove oven dishwasher washer and dryer two new car garage with auto opener large back yard next golf court  conner  big lot  it just 5 mins drive to Bart Station 8 mins to Berkeley or  walk to Bus stop to Berkeley apx 15 mins to Bay bridge Very good quite El Cerrito top area interest person please let me know same about you if ok with you like what you do? how many will occupy? Do you smoke and have pets? and you name phone number then will call show if available thank you     it will available after 1/7/15,"5BR / 3Ba 3000ft2 house  date=""2015-02-01"" today_msg=""available now"">available feb 01<br/>laundry on site attached garage</p>"
8,6447619356,20180201,2018,albany / el cerrito,el cerrito,contra costa,2250,2.0,1.0,925.0,0,2795,37.329219,-121.895821,TWO BED ROOM  ONE BATH IN A DUPLEX,"Apartment walking distance to VTA Light Rail, Caltrain Station, Bus, and Downtown San Jose.Near Highway 87, off of Park Ave.  Dine-in kitchen, living room, full bathroom, and one bedroom.  Approximately 500 s.f.  Quiet upstairs unit, ideal for one person.  Kitchen features gas stove with oven, hood, and refrigerator. Includes wall heating, coin-operated laundry on-site, and 1 carport space.   Rent: $1,895.00/monthRent includes water, garbage & landscapeSecurity Deposit: $1,895.00Application Fee: $30.00No Pets and No Smoking AllowedDeposits subject to Credit & Income qualifications, and background check.FOR MORE INFORMATION please email me with your phone number so I can get back to you or call  show contact info.","<p class=""attrgroup"">""shared-line-bubble"">1BR / 1Ba""shared-line-bubble"">500ft2""housing_movein_now property_date shared-line-bubble"" data-date=""2018-02-01"" data-today_msg=""available now"">available feb 1</p>"
9,4657828969,20140914,2014,albany / el cerrito,el cerrito,contra costa,2600,3.0,2.0,1600.0,0,520,37.925581,-122.311864,"Spacious 3 bedrooms, 2 baths with Bay View","SAFE and  QUIET. Convenient location. Walking distance to BART, Bus, Starbucks Coffee and Safeway grocery store.Spacious living room, fireplace, 3 bedroom, 2 bathroom, master bedroom suitFreshly painted, hardwood floor throughout. Brand new stove and range.Elementary School: ranked 9. Madera Elementary.Free wifiHouse is available now.show contact infoorshow contact infoRefundable Deposit: $2600. Rent: $2600Please bring your pay stub. Credit report will be requested and verified.","3BR / 2Ba 1600ft2 house  date=""2014-09-14"" today_msg=""available now"">available sep 14<br/>w/d in unit attached garage<br/>no smoking</p>"
